KIC,Evol_State,Mass,S_Mass,Radius,S_Radius,Logg_Seis,S_Logg_Seis,Teff,S_Teff,[Fe/H],S_[Fe/H],[Alp/Fe],S_[Alp/Fe],[C/Fe],S_[C/Fe],[N/Fe],S_[N/Fe],[C/N],S_[C/N]
893214,RGB,1.4404,0.0602,11.0014,0.2055,2.5146,0.0042,4718.9233,44.7811,-0.2617,0.058,0.0815,0.022,-0.0626,0.0408759073721983,0.2483,0.044459356098058914,-0.3109,0.06317601724069953
1026180,RC,1.5334,0.0633,12.2361,0.2278,2.4512,0.0039,4576.1016,40.5161,0.2741,0.058,0.0215,0.022,0.0568,0.025433897920478944,0.3647,0.029007018917635994,-0.3079,0.04034642091952381
1026452,RC,1.4618,0.0599,11.9485,0.2215,2.451,0.0044,4910.6035,53.0693,-0.2652,0.058,0.0658,0.022,0.0005,0.05722627032107763,0.1605,0.06018278691322608,-0.16,0.08688057096518642
1027337,RGB,1.2676,0.0489,7.6702,0.133,2.7732,0.0038,4621.996,41.3674,0.2081,0.058,0.0354,0.022,0.062,0.02725060491479887,0.2898,0.031175767995590086,-0.2278,0.04330373087012109
1160684,RC,1.1208,0.0426,11.8817,0.2048,2.3406,0.0043,4830.3506,56.4954,-0.3194,0.058,0.0803,0.022,0.0102,0.0699432192813171,0.1651,0.07102653230299655,-0.15489999999999998,0.10429025706142324
1161447,RC,1.3754,0.0534,11.3443,0.2005,2.4697,0.0042,4754.5938,53.8129,-0.0149,0.058,0.0044,0.022,-0.0452,0.05268450283527781,0.2366,0.055845288757317896,-0.2818,0.08031718274225268
1161618,RC,1.1764,0.043,10.8804,0.1811,2.438,0.0036,4739.398,43.9292,-0.0084,0.058,0.0307,0.022,0.0025,0.033911863893971925,0.21,0.03822420249894089,-0.2075,0.053444206202413316
1163114,RGB,1.6769,0.0654,20.0342,0.3509,2.0481,0.0037,4265.4097,37.0993,0.2026,0.058,0.0363,0.022,0.0703,0.024222759924265664,0.2256,0.026838269839681902,-0.1553,0.037815300374193256
1163453,RC,1.4589,0.06,11.1119,0.2063,2.5132,0.004,4761.3223,44.2829,0.0283,0.058,-0.0032,0.022,-0.0387,0.033306294895865285,0.1794,0.037682015229452366,-0.21810000000000002,0.0525987523399031
1293521,RGB,1.2474,0.0502,30.5334,0.5503,1.5384,0.0037,3918.499,32.9835,0.3592,0.058,0.0254,0.022,0.0676,0.02058934593562581,0.1663,0.02195858441428519,-0.09870000000000001,0.03148992153157597
1294122,RGB,1.3468,0.0518,7.7783,0.1346,2.7873,0.0039,4780.2866,45.1008,-0.0811,0.058,0.0211,0.022,-0.0923,0.03663692438545182,0.278,0.04093513884638351,-0.3703,0.05745969536385086
1294385,RGB,1.4216,0.0546,6.7136,0.1161,2.9387,0.0039,4807.2637,44.749,0.0497,0.058,-0.0052,0.022,-0.1403,0.033911863893971925,0.2843,0.03822420249894089,-0.4246,0.053444206202413316
1295475,RC,1.4927,0.0615,11.4545,0.213,2.4968,0.004,4658.762,42.0677,0.1768,0.058,-0.0078,0.022,-0.0265,0.028461742911012156,0.2951,0.03226014253456713,-0.3216,0.04499395591954648
1296507,RGB,1.5395,0.059,6.4046,0.1107,3.0142,0.0045,4897.0596,58.4962,-0.0053,0.058,0.0066,0.022,-0.0161,0.06146525330782412,0.2148,0.06424919143439001,-0.2309,0.09302088068083672
1429505,RGB,1.1279,0.0434,8.3276,0.1443,2.651,0.004,4683.642,46.1562,-0.117,0.058,0.056,0.022,0.0248,0.045114890358944795,0.1583,0.04852576061922283,-0.1335,0.06931222050832281
1430985,RGB,1.2387,0.0515,5.8041,0.1081,3.0053,0.0045,5009.838,54.5953,-0.4328,0.058,0.1095,0.022,0.0016,0.07115435727753039,0.18,0.07211090684197359,-0.1784,0.10598785629418189
