KIC,Mass,S_Mass,Radius,S_Radius,Logg_Seis,S_Logg_Seis,Teff,S_Teff,[Fe/H],S_[Fe/H],[Alp/Fe],S_[Alp/Fe],[C/Fe],S_[C/Fe],[N/Fe],S_[N/Fe],[C/N],S_[C/N]
893214,1.4404,0.0602,11.0014,0.2055,2.5146,0.0042,4718.9233,44.7811,-0.2617,0.058,0.0815,0.022,-0.0626,0.0408759073721983,0.2483,0.044459356098058914,-0.3109,0.06317601724069953
1027337,1.2676,0.0489,7.6702,0.133,2.7732,0.0038,4621.996,41.3674,0.2081,0.058,0.0354,0.022,0.062,0.02725060491479887,0.2898,0.031175767995590086,-0.2278,0.04330373087012109
1163114,1.6769,0.0654,20.0342,0.3509,2.0481,0.0037,4265.4097,37.0993,0.2026,0.058,0.0363,0.022,0.0703,0.024222759924265664,0.2256,0.026838269839681902,-0.1553,0.037815300374193256
1293521,1.2474,0.0502,30.5334,0.5503,1.5384,0.0037,3918.499,32.9835,0.3592,0.058,0.0254,0.022,0.0676,0.02058934593562581,0.1663,0.02195858441428519,-0.09870000000000001,0.03148992153157597
1294122,1.3468,0.0518,7.7783,0.1346,2.7873,0.0039,4780.2866,45.1008,-0.0811,0.058,0.0211,0.022,-0.0923,0.03663692438545182,0.278,0.04093513884638351,-0.3703,0.05745969536385086
1294385,1.4216,0.0546,6.7136,0.1161,2.9387,0.0039,4807.2637,44.749,0.0497,0.058,-0.0052,0.022,-0.1403,0.033911863893971925,0.2843,0.03822420249894089,-0.4246,0.053444206202413316
1296507,1.5395,0.059,6.4046,0.1107,3.0142,0.0045,4897.0596,58.4962,-0.0053,0.058,0.0066,0.022,-0.0161,0.06146525330782412,0.2148,0.06424919143439001,-0.2309,0.09302088068083672
1429505,1.1279,0.0434,8.3276,0.1443,2.651,0.004,4683.642,46.1562,-0.117,0.058,0.056,0.022,0.0248,0.045114890358944795,0.1583,0.04852576061922283,-0.1335,0.06931222050832281
1430985,1.2387,0.0515,5.8041,0.1081,3.0053,0.0045,5009.838,54.5953,-0.4328,0.058,0.1095,0.022,0.0016,0.07115435727753039,0.18,0.07211090684197359,-0.1784,0.10598785629418189
1431059,1.1429,0.0439,4.7597,0.0824,3.1426,0.0044,4786.8867,56.249,0.0857,0.058,0.0512,0.022,-0.0521,0.055106778827704386,0.2827,0.058556225104760516,-0.3348,0.08411853423521816
1433593,1.6795,0.0646,9.1136,0.1577,2.7456,0.0039,4769.933,44.2558,0.0936,0.058,-0.0126,0.022,-0.1067,0.032095156899652005,0.2757,0.03632654705573106,-0.3824,0.05069755022955855
1433803,1.2145,0.0467,5.2466,0.0909,3.0845,0.0038,4720.9194,42.7632,0.2173,0.058,0.0122,0.022,0.0094,0.028461742911012156,0.341,0.032531236169311396,-0.3316,0.04520486697796132
1572175,1.5948,0.0614,9.9047,0.1715,2.6508,0.0039,4726.4106,44.0491,-0.0626,0.058,0.0188,0.022,-0.069,0.03512300189018521,0.2442,0.03930857703791794,-0.31320000000000003,0.055135548713531185
1572317,1.5292,0.0634,5.0212,0.0934,3.2226,0.0044,5143.865,51.9762,-0.1701,0.058,0.0435,0.022,-0.0226,0.050262226842851254,0.1538,0.05448982058359659,-0.1764,0.07754647951307983
1576043,1.427,0.0571,30.4365,0.5466,1.6007,0.0037,4090.4976,35.9527,0.0062,0.058,0.0383,0.022,0.0335,0.026039466918585587,0.152,0.02819373801340321,-0.1185,0.04014724086165219
1578131,1.1109,0.0465,9.4761,0.1773,2.5317,0.0041,4608.9697,41.903,0.0519,0.058,0.0355,0.022,-0.0366,0.03027844990533208,0.2805,0.03415779797777697,-0.31710000000000005,0.04774056178584922
1717618,1.702,0.0652,6.8663,0.1187,2.9973,0.0045,4882.8647,58.1663,0.0247,0.058,0.006,0.022,-0.1053,0.05964854631350419,0.3138,0.06262262962592444,-0.41910000000000003,0.09047686247733061
1719297,1.4725,0.0577,26.2766,0.4616,1.7457,0.0038,4232.5425,37.7942,-0.1066,0.058,0.0413,0.022,0.0086,0.029370096408172116,0.1797,0.03198904889982287,-0.1711,0.045426940366598875
1719422,1.2881,0.0493,5.6235,0.0971,3.0497,0.0041,4945.6543,51.2474,-0.2825,0.058,0.054,0.022,-0.0925,0.056015132324864346,0.2213,0.05909841237424903,-0.31379999999999997,0.08518486722525309
